time_h,R_m,Csurface_shrink,Csurface_fixed,G,Q,GQ
5.366666666666666252e+00,1.404002879999999981e-02,4.635171313154853867e-01,4.792558498162719505e-01,1.424498502453214410e+00,9.633356956200538335e-01,1.372270255770492220e+00
5.383333333333333748e+00,1.403093920000000015e-02,4.623328797177277960e-01,4.782766903697577288e-01,1.425421328887235051e+00,9.627730057417553944e-01,1.372357177261170458e+00
5.400000000000000355e+00,1.402192640000000066e-02,4.611519315885637682e-01,4.773013126449225374e-01,1.426337539469612281e+00,9.622069523423045778e-01,1.372431896864477308e+00
5.416666666666666963e+00,1.401299999999999941e-02,4.599741495408496417e-01,4.763296924553092615e-01,1.427246128594876318e+00,9.616372597054185789e-01,1.372493056027144220e+00
5.433333333333333570e+00,1.400416960000000141e-02,4.587993959887633477e-01,4.753618057976468636e-01,1.428146085862884718e+00,9.610636487735576550e-01,1.372539288261058532e+00
5.450000000000000178e+00,1.399544479999999952e-02,4.576275334924981286e-01,4.743976288504449523e-01,1.429036396185136004e+00,9.604858379487553055e-01,1.372569220449149752e+00
5.466666666666666785e+00,1.398683519999999875e-02,4.564584245262394702e-01,4.734371379612502539e-01,1.429916039905868130e+00,9.599035425682301836e-01,1.372581472280777648e+00
5.483333333333333393e+00,1.397835040000000063e-02,4.552919320600254949e-01,4.724803096725342932e-01,1.430783992938108096e+00,9.593164762114910760e-01,1.372574658325192765e+00
5.500000000000000000e+00,1.396999999999999978e-02,4.541279207253258177e-01,4.715271206997951881e-01,1.431639226914817487e+00,9.587243535189240440e-01,1.372547392296240565e+00
5.516666666666666607e+00,1.396173008093947593e-02,4.529664134930057595e-01,4.705775479360199132e-01,1.432487226443659667e+00,9.581272627389647578e-01,1.372505065180995132e+00
5.533333333333333215e+00,1.395348175320686515e-02,4.518076914123181353e-01,4.696315684504445143e-01,1.433334013240350702e+00,9.575259076418934923e-01,1.372454451981964585e+00
5.549999999999999822e+00,1.394525716097561041e-02,4.506518539940967960e-01,4.686891594821142037e-01,1.434179360705371220e+00,9.569205644929107413e-01,1.372395723430265724e+00
5.566666666666666430e+00,1.393705844841915120e-02,4.494989377759838201e-01,4.677502984511606732e-01,1.435023041197660776e+00,9.563113609731630493e-01,1.372328837555582437e+00
5.583333333333333037e+00,1.392888775971092875e-02,4.483489562688364183e-01,4.668149629481639917e-01,1.435864826037988484e+00,9.556983703477559544e-01,1.372253674284169778e+00
5.599999999999999645e+00,1.392074723902438950e-02,4.472019083687182039e-01,4.658831307356037232e-01,1.436704485513068175e+00,9.550816310675042109e-01,1.372170063385820704e+00
5.616666666666666252e+00,1.391263903053297120e-02,4.460577822709401730e-01,4.649547797466348498e-01,1.437541788880425830e+00,9.544611558076060431e-01,1.372077797336544780e+00
5.633333333333333748e+00,1.390456527841011682e-02,4.449165595843287413e-01,4.640298880799245684e-01,1.438376504374025977e+00,9.538369411245852802e-01,1.371976645117594540e+00
5.650000000000000355e+00,1.389652812682926931e-02,4.437782171929482988e-01,4.631084340079120731e-01,1.439208399210669898e+00,9.532089717621864411e-01,1.371866358363104998e+00
