time_s,Cmax
86100.0,0.28622207446359
86160.0,0.28599647980120707
86220.0,0.2857713372633826
86280.0,0.2855466474897779
86340.0,0.28532241127784275
86400.0,0.28509862956594295
86460.0,0.2848753031578899
86520.0,0.28465243077584423
86580.0,0.28443001134100165
86640.0,0.28420804351335666
86700.0,0.28398652598692764
86760.0,0.2837654574648862
86820.0,0.28354483665601893
86880.0,0.2833246622725148
86940.0,0.28310493303312173
87000.0,0.2828856476550828
87060.0,0.28266680486642604
87120.0,0.2824484033917034
87180.0,0.2822304419705166
87240.0,0.2820129193350555
87300.0,0.2817958342362442
87360.0,0.28157918541362
87420.0,0.2813629716429424
87480.0,0.2811471916606074
87540.0,0.2809318442152602
87600.0,0.28071692810743515
87660.0,0.2805024420835774
87720.0,0.2802883849019894
87780.0,0.28007475537854987
87840.0,0.2798615522774889
87900.0,0.27964877436822894
87960.0,0.2794364204664107
88020.0,0.2792244893675
88080.0,0.2790129798672152
88140.0,0.27880189076741063
88200.0,0.27859122081894033
88260.0,0.27838096845078786
88320.0,0.27817113085811795
88380.0,0.2779617046196206
88440.0,0.2777526866104085
88500.0,0.2775440739911197
88560.0,0.2773358640810693
88620.0,0.277128054273396
88680.0,0.2769206421445415
88740.0,0.2767136255104701
88800.0,0.2765070022252789
88860.0,0.2763007704590555
88920.0,0.27609492843354394
88980.0,0.2758894745763635
89040.0,0.27568440747530565
89100.0,0.2754797258751551
89160.0,0.275275428671943
89220.0,0.2750715149176358
89280.0,0.2748679838122033
89340.0,0.2746648347078207
89400.0,0.27446206710714594
89460.0,0.2742596806527851
89520.0,0.27405767514998874
89580.0,0.273856050550295
89640.0,0.273654806933728
89700.0,0.2734539445283966
89760.0,0.2732534637284561
89820.0,0.2730533650557818
89880.0,0.2728536491210662
89940.0,0.27265431674817714
90000.0,0.2724553688798443
90060.0,0.2722568061783343
90120.0,0.2720586280611868
90180.0,0.2718608333468512
90240.0,0.2716634209264694
90300.0,0.2714663897895695
90360.0,0.2712697388984457
90420.0,0.2710734672004999
90480.0,0.2708775736416729
90540.0,0.2706820571771096
90600.0,0.27048691676741965
90660.0,0.2702921513712279
90720.0,0.2700977599597833
90780.0,0.26990374149882507
90840.0,0.2697100949673229
